Real_Label,Predicted_Score,Predicted_label
1,0.4911967239835817,0
1,0.694380377064892,1
0,0.15132629512662266,0
1,0.7251709278555534,1
0,0.1580567615298076,0
0,0.2180447265644069,0
1,0.32302636472839497,0
0,0.21857121164296692,0
0,0.15636415096061315,0
1,0.6089445348109348,1
0,0.2947849472492546,0
0,0.3978657022052126,0
0,0.11485486318167229,0
1,0.801056727087312,1
0,0.2851941314729884,0
0,0.3300747877001919,0
1,0.9190233551067829,1
0,0.17043593229548637,0
0,0.5669667537241937,1
0,0.108501636693997,0
0,0.15512548628528888,0
1,0.6368262566799463,1
0,0.22847753279753275,0
0,0.35413644544916795,0
0,0.4048224941511448,0
0,0.29746274629874736,0
0,0.0730705701575184,0
1,0.23134572111437043,0
0,0.19743895255767985,0
1,0.40161427649583253,0
0,0.324764847193622,0
1,0.7706423403453918,1
0,0.27281777132746676,0
1,0.8883479056500443,1
0,0.16513003096457546,0
1,0.2000637124629158,0
0,0.29991408187869306,0
1,0.7574652558763576,1
1,0.973184571961231,1
1,0.48907543601284065,0
1,0.9374988849439843,1
1,0.609355523663445,1
1,0.4535520541955271,0
1,0.27701178879794397,0
1,0.5958591168884424,1
1,0.26486416802487006,0
1,0.26028575281917193,0
0,0.23894398830335553,0
0,0.09644389612075376,0
1,0.8666610914531301,1
1,0.8378926185593112,1
1,0.8842988902700627,1
1,0.5644356425255336,1
1,0.62133068086732,1
1,0.7977110522739707,1
1,0.9212417408546515,1
0,0.21390125394145887,0
1,0.9280602510456374,1
0,0.2267093860284249,0
0,0.18859639574184392,0
0,0.21120836954492408,0
0,0.2592503483149117,0
1,0.5812734470737129,1
0,0.3228909254590403,0
0,0.30078184605571,0
1,0.6959521031481344,1
1,0.19034994414862547,0
1,0.9865523785002984,1
1,0.6499828436414324,1
0,0.9070469485878612,1
1,0.6397366384236319,1
1,0.6526275348118333,1
0,0.4123623659647935,0
1,0.5870542903327699,1
1,0.7058091055146177,1
0,0.28170066311600955,0
0,0.1840436693325817,0
0,0.3228641221197115,0
1,0.500054994112987,1
1,0.19476518364316392,0
1,0.9483039615165146,1
1,0.8997979014312009,1
0,0.5573209322187473,1
0,0.26266210003808005,0
1,0.8434266021615873,1
1,0.8256574958018134,1
0,0.20675749216549497,0
0,0.17781605102133616,0
1,0.145705023660278,0
0,0.27794305101601274,0
1,0.47192748708400856,0
1,0.8194303879316823,1
1,0.2854246229153537,0
1,0.33372325074494746,0
0,0.3893196289170562,0
0,0.4480826499465416,0
1,0.1057935796924628,0
1,0.671651377146598,1
1,0.5310131204104123,1
1,0.6692690118793584,1
1,0.6609921611530682,1
0,0.11519326653837603,0
0,0.21483857985798233,0
1,0.5590136933791106,1
1,0.579228876511215,1
1,0.4407892526542548,0
1,0.47119860448071466,0
0,0.30824681203900817,0
0,0.20582818299074707,0
0,0.24153765896862783,0
1,0.3886937868402386,0
0,0.33657648742985075,0
1,0.6345364180541515,1
0,0.4088490934944405,0
0,0.26709504275668716,0
1,0.6645461776767443,1
1,0.6775298515165606,1
0,0.22045437018377603,0
0,0.3538685530757161,0
0,0.2830458470049828,0
0,0.1860855547225261,0
0,0.3592550893571671,0
0,0.365906713345203,0
0,0.32964266188761304,0
0,0.25579505676331443,0
1,0.8802255206921779,1
0,0.26675619461341116,0
0,0.36666193066964287,0
1,0.6890303624314121,1
0,0.5207740677064795,1
0,0.169316316146159,0
1,0.2467323938757047,0
0,0.446429071538845,0
0,0.14556025168352188,0
1,0.38259832122466714,0
1,0.7926258820920877,1
1,0.6536609724484235,1
0,0.2849912892066996,0
0,0.3334320675666025,0
0,0.37246566305143713,0
0,0.2919250054813408,0
1,0.1334534156320445,0
1,0.26450704802586894,0
0,0.3231367213866303,0
1,0.6676029040387623,1
1,0.6916144254115889,1
0,0.5170745448275311,1
0,0.3442475474553727,0
1,0.7952501383791734,1
0,0.3887752924620658,0
1,0.4214981911030321,0
0,0.29831516195180163,0
0,0.527481941398611,1
0,0.1987193620755353,0
1,0.6965755306439698,1
0,0.31475007731641147,0
1,0.1425253481406031,0
1,0.9653424317556052,1
0,0.18872576537702623,0
0,0.20860692856931978,0
1,0.2454872998883519,0
1,0.46837531333455734,0
1,0.36376440876182514,0
1,0.5231635033037149,1
0,0.16036957605916782,0
0,0.3783519964731911,0
0,0.35403580427720976,0
0,0.3895828783559442,0
0,0.21071625014662962,0
0,0.5523921180806137,1
0,0.32005760588717946,0
0,0.4270719845140707,0
1,0.21379283010639324,0
1,0.7369595363553041,1
0,0.19700017805249176,0
1,0.26369238925343547,0
1,0.879864431194806,1
1,0.5678120244778534,1
0,0.28254970513192473,0
